Estacion,Estacion_homologada,Troncal,Rutas_Disponibles,Entradas,Salidas,Trafico,Cluster
Calle 22,(09113)Calle 22,A,12,5426,9750,15176,0
CAN,(06103)CAN,K,12,6253,11085,17338,0
Ciudad Universitaria - Lotería de Bogotá,(06107)Ciudad Universitaria - Loteria de Bogota,K,12,7256,6877,14133,0
Corferias,(06106)Recinto Ferial,K,12,6498,9629,16127,0
El Tiempo - Cámara de Comercio de Bogotá,(06101)El Tiempo - Camara de Comercio de Bogota,K,12,9183,14364,23547,0
Escuela Militar,(04107)Escuela Militar,D,12,1313,1448,2761,0
Flores - Areandina,(09121)Flores â€“ Areandina,A,12,31706,39439,71145,2
General Santander,(07006)General Santander,G,12,8060,9112,17172,0
Guatoque - Veraguas,(07201)Guatoque -Veraguas,E,12,4949,7355,12304,0
Paloquemao,(07110)PALOQUEMAO,E,12,14602,17734,32336,0
Restrepo,(09104)Restrepo,H,12,13333,18903,32236,0
San Diego,(10008)San Diego,L,12,5647,6952,12599,0
7 de Agosto,(07104)7 de Agosto,E,12,10451,13958,24409,0
Portal del Norte,(02000)Cabecera Autopista Norte,B,11,74033,81154,155187,1
21 Ángeles,(03003)21 ANGELES,C,10,2806,3075,5881,0
AV. Américas - AV. Boyacá,(05102)Av. AmÃ©ricas - Av. BoyacÃ¡,F,10,6124,7685,13809,0
AV. Rojas - UNISALESIANA,(06100)Av. Rojas â€“ UNISALESIANA,K,10,6268,11474,17742,0
Avenida 68,(04104)Avenida 68,D,10,10676,11794,22470,0
Avenida Cali,(04003)Avenida Ciudad de Cali,D,10,10079,7214,17293,0
Bicentenario,(10005)Bicentenario,L,10,5810,11407,17217,0
Calle 106,(02205)Calle 106,B,10,14114,14672,28786,0
Calle 161,(02102)Calle 161,B,10,5685,6107,11792,0
Campín – Universidad Antonio Nariño,(07106)EL CAMPIN,E,10,13961,15093,29054,0
Carrera 47,(04106)Carrera 47,D,10,3189,3412,6601,0
Movistar Arena,(07105)MOVISTAR ARENA,E,10,10157,11210,21367,0
Concejo de Bogotá,(06108)Concejo de BogotÃ¡,K,10,2487,3218,5705,0
Country Sur,(10001)Country Sur,L,10,12630,10965,23595,0
Gobernación,(06104)GobernaciÃ³n,K,10,3733,7159,10892,0
Hortúa,(09107)HortÃºa,H,10,7734,10373,18107,0
Marsella,(05103)Marsella,F,10,7344,9408,16752,0
Minuto De Dios,(04101)Minuto de Dios,D,10,6093,6806,12899,0
Modelia,(06001)Modelia,K,10,5992,7470,13462,0
Niza - CL 127,(03006)NIZA - CALLE 127,C,10,12648,14828,27476,0
NQS – Calle 75,(07102)Calle 75 - Zona M,E,10,6543,7298,13841,0
Quinta Paredes,(06105)Quinta Paredes,K,10,2808,5340,8148,0
Santa Isabel,(07113)SANTA ISABEL,G,10,10160,11528,21688,0
Santa Lucía,(09004)Santa LucÃ­a,H,10,10739,13757,24496,0
Tygua - San José,(07200)Tygua-San JosÃ©,E,10,6962,14800,21762,0
Molinos,(09001)Molinos,H,10,13820,18892,32712,0
CAD,(07109)CAD,E,9,14786,15947,30733,0
Fucha,(09105)RÃ­o Fucha,H,9,6944,9074,16018,0
Alquería,(07005)ALQUERIA,G,8,7954,10094,18048,3
Boyacá,(04102)Avenida Boyaca,D,8,11508,12468,23976,3
Calle 187,(02001)Centro Comercial Santa Fe,B,8,9018,10112,19130,3
Carrera 90,(04002)Carrera 90,D,8,6761,6338,13099,3
Comuneros,(07112)COMUNEROS,G,8,11079,13620,24699,3
Madelena,(07002)MADELENA,G,8,9208,8916,18124,3
Mandalay,(05101)Mandalay - Cr.73,F,8,2232,1880,4112,3
Mazurén,(02103)MazurÃ©n,B,8,7601,8070,15671,3
Museo Nacional,(10009)Museo Nacional - FNG,M,8,17783,17204,34987,0
Nariño,(09106)NariÃ±o,H,8,4677,5664,10341,3
NQS – CL 30 S.,(07008)NQS - Calle 30 Sur,G,8,5241,6612,11853,3
Perdomo,(07001)PERDOMO,G,8,7614,8435,16049,3
Portal Américas,(05000)Portal AmÃ©ricas,F,8,76861,84913,161774,1
Portal Eldorado,(07108)Av. El Dorado,K,12,7904,8257,16161,0
Portal Suba,(03000)Portal Suba,C,8,57725,70467,128192,1
Rionegro,(03013)RIO NEGRO,C,8,4839,5001,9840,3
San Bernardo,(10010)San Bernardo,L,8,6308,6547,12855,3
San Martín,(03014)SAN MARTIN,C,8,1280,1252,2532,3
San Victorino,(10006)SAN VICTORINO - NEOS CENTRO,L,8,18920,27189,46109,0
Suba - AV. Boyacá,(03005)SUBA - AV. BOYACA,C,8,7988,8590,16578,3
Suba - CL 95,(03012)SUBA - CALLE 95,C,8,8756,8839,17595,3
Terminal,(02502)Terminal,B,8,13108,15415,28523,3
Transversal 86,(05005)Transversal 86,F,8,6837,6203,13040,3
Venecia,(07004)VENECIA,G,8,9527,11102,20629,3
Zona Industrial,(12007)Zona Industrial,F,8,6719,9230,15949,3
Consuelo,(09002)Consuelo,H,8,2252,3144,5396,3
Danubio,(09005)Danubio,H,8,3573,3195,6768,3
Olaya,(09103)Olaya,H,7,7770,8028,15798,3
Portal de la 80,(04000)Cabecera Calle 80,D,7,58772,65989,124761,1
Portal del Sur,(07000)Portal Sur JFK Coop. Financiera,G,7,54890,70208,125098,1
CDS - Carrera 32,(12002)CDS - Carrera 32,F,6,3021,4781,7802,3
Centro Memoria,(06109)Centro Memoria,K,6,5378,6795,12173,3
De La Sabana,(14001)La Sabana,F,6,6182,9260,15442,3
Ferias,(04103)Las Ferias,D,6,3870,4116,7986,3
La Campiña,(03001)LA CAMPIÃ‘A,C,6,5184,4191,9375,3
Las Nieves,(10007)Las Nieves,L,6,10853,12924,23777,3
Normandía,(06002)NormandÃ­a,K,6,6642,8398,15040,3
NQS – CL 38A S.,(07007)NQS - Calle 38A Sur,G,6,8546,11655,20201,3
Portal 20 de Julio,(10000)Portal 20 de Julio,L,6,33199,48220,81419,1
Pradera - Plaza Central,(05105)Pradera â€“ Plaza Central,F,6,14645,19422,34067,3
Puente Aranda,(12000)Puente Aranda,F,6,3168,4531,7699,3
Quirigua,(04001)Quirigua,D,6,4350,5033,9383,3
Quiroga,(09101)Quiroga,H,6,4465,6910,11375,3
Sevillana,(07003)SEVILLANA,G,6,4413,4489,8902,3
Suba - CL 100,(03011)SUBA - CALLE 100,C,6,8161,7976,16137,3
Socorro,(09003)Socorro,H,6,1691,2596,4287,3
Portal Usme,(09000)Cabecera Usme,H,6,41883,56820,98703,1
Portal del Tunal,(08000)Portal Tunal,H,5,44058,57350,101408,1
Universidades - City U,(06111)Universidades â€“ CityU,K,5,8665,8137,16802,3
Museo del Oro,(14004)Museo del Oro,J,5,14238,16998,31236,3
Biblioteca,(08002)Biblioteca,H,4,2719,3308,6027,3
Carrera 43 - COMAPAN,(12001)Carrera 43 - COMAPAN,F,4,4553,7160,11713,3
Carrera 53,(04105)Carrera 53,D,4,4277,4121,8398,3
Ciudad Jardín - UAN,(10003)Ciudad JardÃ­n,L,4,2995,3393,6388,3
Gratamira,(03004)GRATAMIRA,C,4,1066,1337,2403,3
Hospital,(09108)Hospital,H,4,1029,1965,2994,3
Humedal Córdoba,(03007)HUMEDAL CORDOBA,C,4,2331,2450,4781,3
Parque,(08001)Parque el Tunal,H,4,2750,3523,6273,3
Policarpa,(10004)Policarpa,L,4,3635,4558,8193,3
San Facon - KR. 22,(12004)Carrera 22,F,4,8582,10826,19408,3
Las Aguas,(14005)Las Aguas - Centro Colombo Americano,J,2,12353,13620,25973,3
